#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
        0.010386       0.0146663       0.0141861       0.0135922       0.0139524       0.0143374       0.0141492
       0.0108099        0.014911       0.0143963       0.0137268       0.0141399       0.0145611       0.0143558
       0.0112511       0.0151446       0.0145943       0.0138409       0.0143134       0.0147722         0.01455
       0.0117103        0.015366       0.0147794       0.0139325       0.0144719       0.0149694       0.0147308
       0.0121883       0.0155741       0.0149506       0.0140001       0.0146144       0.0151514       0.0148974
       0.0126858       0.0157676       0.0151066       0.0140418       0.0147397        0.015317       0.0150486
       0.0132036       0.0159452       0.0152463        0.014056       0.0148463       0.0154647        0.015183
       0.0137425       0.0161056       0.0153683       0.0140409       0.0149329       0.0155931       0.0152994
       0.0143034       0.0162473       0.0154714       0.0139949        0.014998       0.0157008       0.0153964
       0.0148872       0.0163691       0.0155539       0.0139165       0.0150404       0.0157866       0.0154726
       0.0154949       0.0164695       0.0156144       0.0138042       0.0150585       0.0158491       0.0155263
       0.0161273        0.016547       0.0156512       0.0136568       0.0150504        0.015887       0.0155559
       0.0167856       0.0166004       0.0156627       0.0134736       0.0150148       0.0158992       0.0155598
       0.0174707       0.0166284       0.0156479       0.0132539       0.0149509       0.0158842       0.0155372
       0.0181838       0.0166299       0.0156062       0.0129976       0.0148581       0.0158409       0.0154873
        0.018926       0.0166039       0.0155365       0.0127047       0.0147359       0.0157684       0.0154092
       0.0196985       0.0165493       0.0154381        0.012376       0.0145836       0.0156658       0.0153021
       0.0205025       0.0164653       0.0153104       0.0120126       0.0144011       0.0155326       0.0151655
       0.0213393       0.0163515       0.0151531       0.0116164       0.0141886       0.0153685       0.0149993
       0.0222103       0.0162074       0.0149663       0.0111899       0.0139468       0.0151737       0.0148036
       0.0231169       0.0160328       0.0147503        0.010736       0.0136766       0.0149485       0.0145787
       0.0240604       0.0158279       0.0145055       0.0102583       0.0133792       0.0146936       0.0143253
       0.0250425       0.0155929       0.0142328      0.00976115       0.0130562       0.0144102       0.0140443
       0.0260646       0.0153289       0.0139334      0.00924971       0.0127099       0.0140997       0.0137372
       0.0271285        0.015037        0.013609       0.0087294       0.0123429       0.0137641       0.0134057
       0.0282358       0.0147188        0.013262      0.00820652       0.0119586       0.0134057       0.0130525
       0.0293882       0.0143766       0.0128952      0.00768728       0.0115608       0.0130273       0.0126805
       0.0305878       0.0140125       0.0125117      0.00717812       0.0111534       0.0126324       0.0122928
       0.0318362       0.0136298        0.012115      0.00668608       0.0107412        0.012225       0.0118934
       0.0331357       0.0132313       0.0117088      0.00621711       0.0103285       0.0118091       0.0114859
       0.0344882        0.012821       0.0112974      0.00577771      0.00992029       0.0113891       0.0110748
       0.0358958       0.0124024       0.0108848      0.00537328      0.00952136       0.0109694       0.0106642
        0.037361       0.0119796       0.0104756      0.00500855       0.0091365       0.0105543       0.0102588
       0.0388859       0.0115574       0.0100747      0.00468831      0.00877085       0.0101493      0.00986356
       0.0404731       0.0111397      0.00968628      0.00441566       0.0084286      0.00975852      0.00948263
        0.042125       0.0107297      0.00931315      0.00419202      0.00811211      0.00938498       0.0091187
       0.0438444       0.0103295      0.00895725      0.00401832      0.00782289      0.00903079       0.0087737
        0.045634      0.00994289      0.00862182      0.00389511      0.00756321      0.00869904      0.00845069
       0.0474966      0.00957536      0.00831171      0.00382294      0.00733636      0.00839412      0.00815423
       0.0494352      0.00923042      0.00802971      0.00380182      0.00714376       0.0081185       0.0078869
        0.051453      0.00890591      0.00777239      0.00382529      0.00697996       0.0078686       0.0076449
       0.0535531      0.00859872      0.00753523      0.00388584      0.00683831       0.0076398      0.00742335
        0.055739      0.00830674      0.00731449      0.00397366      0.00671214      0.00742788      0.00721801
        0.058014      0.00802827      0.00710673       0.0040771      0.00659476      0.00722876      0.00702492
        0.060382      0.00776102      0.00690772      0.00418133      0.00647828       0.0070374      0.00683924
       0.0628465      0.00750217      0.00671263      0.00426887      0.00635413      0.00684813      0.00665558
       0.0654117      0.00724709      0.00651491      0.00431978      0.00621228      0.00665366      0.00646682
       0.0680815      0.00698993      0.00630697      0.00431357      0.00604228      0.00644584      0.00626496
       0.0708604      0.00672329      0.00608019       0.0042318      0.00583384      0.00621567      0.00604109
       0.0737526      0.00644198      0.00582877      0.00406394      0.00558123      0.00595733      0.00578947
        0.076763      0.00614377      0.00555075       0.0038105      0.00528454      0.00566911      0.00550843
       0.0798961      0.00583009      0.00524894      0.00348498       0.0049509      0.00535446      0.00520148
       0.0831572       0.0055058      0.00493061      0.00311264      0.00459372       0.0050216      0.00487682
       0.0865514      0.00517769      0.00460566      0.00272555      0.00423002      0.00468167       0.0045455
       0.0900841      0.00485304      0.00428479      0.00235657      0.00387761      0.00434683      0.00421939
        0.093761      0.00453919      0.00397863      0.00203433      0.00355316      0.00402903       0.0039101
       0.0975879      0.00424415       0.0036978      0.00178021      0.00327124       0.0037399      0.00362896
        0.101571      0.00397571      0.00345154      0.00160557      0.00304239      0.00348916      0.00338546
        0.105717      0.00374011      0.00324626      0.00151369      0.00287178      0.00328313      0.00318582
        0.110032      0.00353875      0.00308209       0.0014979      0.00275588      0.00312135      0.00302956
        0.114523      0.00336682      0.00295173      0.00154158      0.00268166      0.00299552      0.00290838
        0.119197      0.00321475       0.0028421      0.00161716      0.00262855      0.00289119      0.00280795
        0.124063      0.00307075      0.00273733      0.00168672      0.00257198       0.0027908      0.00271097
        0.129126      0.00292369      0.00262241      0.00170936      0.00248911      0.00267765      0.00260121
        0.134397      0.00276591      0.00248713      0.00165502      0.00236538      0.00254053      0.00246777
        0.139882      0.00259506      0.00232903      0.00151865      0.00219982      0.00237695      0.00230846
        0.145592      0.00241396      0.00215354      0.00132459      0.00200531       0.0021936      0.00212987
        0.151534      0.00222998       0.0019726      0.00111682      0.00180463      0.00200449      0.00194568
        0.157719      0.00205497      0.00180293     0.000941113      0.00162446      0.00182837      0.00177424
        0.164157      0.00190188      0.00166078     0.000827914      0.00148639      0.00168266      0.00163271
        0.170857      0.00177628      0.00155249     0.000783643      0.00139648      0.00157385       0.0015274
        0.177831      0.00167357      0.00147151     0.000792387      0.00134296      0.00149463       0.0014509
        0.185089      0.00158427      0.00140453     0.000821694      0.00130379      0.00142994      0.00138843
        0.192644       0.0014972      0.00133603     0.000830606      0.00125434      0.00136233      0.00132301
        0.200507      0.00140201      0.00125294      0.00078805      0.00117677      0.00127776       0.0012408
        0.208691      0.00129762      0.00115486     0.000697296      0.00107362      0.00117617      0.00114188
        0.217209      0.00119222      0.00105357     0.000593352     0.000965288      0.00107088      0.00103943
        0.226075      0.00109604     0.000963268     0.000514135     0.000874205     0.000977809      0.00094897
        0.235302      0.00101595     0.000892705      0.00047687     0.000811829     0.000906417     0.000879727
        0.244906     0.000950697     0.000839463     0.000471799     0.000772005     0.000853656     0.000828663
        0.254903     0.000892073     0.000792189      0.00047039     0.000736418     0.000806749      0.00078328
        0.265307     0.000830875     0.000739107      0.00044547     0.000688258     0.000752908     0.000730987
        0.276136     0.000766109     0.000679313     0.000396518     0.000627801     0.000691304     0.000671074
        0.287406     0.000703155     0.000620659     0.000346537     0.000568613     0.000630866      0.00061232
        0.299137     0.000648437     0.000571675     0.000315886     0.000523233     0.000580994     0.000563912
        0.311347     0.000602633     0.000532851     0.000303386     0.000490967      0.00054202     0.000526148
        0.324055     0.000560504     0.000497109     0.000291423     0.000460565     0.000506046     0.000491267
        0.337282     0.000517773     0.000459006     0.000267698     0.000424489     0.000467157     0.000453486
        0.351048      0.00047562     0.000420522     0.000238975     0.000386837     0.000427684      0.00041513
        0.365377     0.000437822     0.000386771     0.000218109     0.000355449     0.000393302     0.000381756
         0.38029     0.000404917     0.000358314     0.000205578     0.000330536      0.00036455      0.00035387
        0.395812     0.000374119     0.000331426     0.000192135     0.000306271     0.000337278     0.000327402
        0.411968     0.000344047      0.00030447      0.00017469     0.000280706     0.000309751     0.000300668
        0.428783     0.000316121     0.000279517     0.000159083     0.000257345     0.000284311     0.000275968
        0.446284     0.000291215     0.000257681     0.000147748     0.000237641     0.000262162     0.000254475
          0.4645     0.000268147     0.000237386     0.000136741     0.000219091      0.00024154     0.000234459
        0.483459      0.00024624     0.000217868     0.000124797     0.000200838     0.000221646     0.000215143
        0.503192     0.000226147     0.000200065     0.000114488     0.000184417     0.000203533     0.000197561
